Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26635-0.0,0.009111111111111111,0.004434961058536463,True,1.3,1.4,,26635-0.0,,
30140-0.0,0.0011111111111111113,0.004419488564638464,False,5.0,5.4,,30140-0.0,,
25484-0.0,0.012888888888888889,0.004389882892289006,True,5.0,19.6,,25484-0.0,,
26616-0.0,0.0008888888888888889,0.004378983146908523,True,1.3,1.4,,26616-0.0,,
1488-0.0,0.006,0.004370133395931964,False,0.1,0.0,,1488-0.0,,
27082-0.0,0.01888888888888889,0.004351260428239835,True,1.3,1.4,,27082-0.0,,
25730-0.0,0.005777777777777778,0.004343921550458152,True,5.0,19.6,,25730-0.0,,
26860-0.0,0.010666666666666666,0.004328632252005033,True,1.3,1.4,,26860-0.0,,
26939-0.0,0.006666666666666666,0.004217685656343114,True,1.3,1.4,,26939-0.0,,
864-0.0,0.00022222222222222223,0.004190717408029718,False,0.7,1.4,,864-0.0,,
25732-0.0,0.01888888888888889,0.004137645156877037,True,0.0,0.0,,25732-0.0,,
23114-0.0,0.00044444444444444447,0.004121519358800646,False,1.2,2.0,,23114-0.0,,
27467-0.0,0.0024444444444444444,0.0041192224274256995,True,1.3,1.4,,27467-0.0,,
