s01_rank,feature,s01_gain
179,FS_ST32CV,0.007725101146634007
180,FS_ST116TS,0.007682109711877638
181,FS_ST24TS,0.007660399095181208
182,FS_ST95CV,0.0076537109806039776
183,FS_ST15CV,0.007571988178916089
184,FS_ST54TS,0.007568794762980262
185,FS_ST49CV,0.007560355686664979
186,FS_ST113TA,0.007393142847895847
187,AMY_COMPOSITE_REF_SUVR,0.007368846430962787
188,FS_ST13SA,0.007280749026184155
189,FS_ST50SA,0.007233441844161526
190,FS_ST36TA,0.00720260793540884
191,FS_ST26TA,0.007202351913419119
192,FS_ST153SV,0.0071926974254277725
193,FS_ST82SA,0.007162507847591723
194,FS_ST13CV,0.007142376274825803
195,FS_ST93SA,0.007090130366970953
196,FS_ST38TS,0.007064569298750802
197,FS_ST5SV,0.007044130985122197
198,FS_ST48SA,0.0069083691292711295
199,FS_ST62TS,0.006898871650561218
200,FS_ST121CV,0.006884024161661015
201,FS_ST85TA,0.0068748074997485266
202,FS_ST14SA,0.0068572066087966635
203,FS_ST114SA,0.006816900689496728
204,FS_ST104TA,0.006725943033050459
205,FS_ST105CV,0.006685415300034163
206,FS_ST95SA,0.006673366877150831
207,FS_ST124SV,0.006665375143211057
208,FS_ST116TA,0.006590262300991453
209,WMH_CEREBRUM_WHITE,0.006560545947282738
210,FS_ST112SV,0.006542380670565222
211,FS_ST102SA,0.006534818723561653
212,FS_ST110SA,0.006509914730748292
213,FS_ST45TA,0.006500001459645873
214,FS_ST102CV,0.006481283120420648
215,FS_ST55CV,0.006480865179143629
216,FS_ST14TA,0.00645369039660017
217,FS_ST57TS,0.006356433345472527
218,FS_ST62TA,0.006305865837314009
219,FS_ST119SA,0.006246407716928277
220,WMH_RIGHT_HIPPO,0.006217261200650826
221,FS_ST34TS,0.006104783527514548
222,FS_ST31TA,0.006041314978424622
223,FS_ST39SA,0.005987177440258898
224,FS_ST46TA,0.005974430204775224
225,FS_ST38CV,0.005972926220637255
226,FS_ST1SV,0.005969884549660098
227,FS_ST44TS,0.005920377099724205
228,FS_ST130CV,0.005915823272556649
229,FS_ST104SA,0.00589640545325394
230,FS_ST77SV,0.005870238508566847
231,FS_ST45SA,0.005867715151020735
232,FS_ST106CV,0.00583112298944993
233,FS_ST130TA,0.00583050922287388
234,FS_ST60SA,0.005787444217540258
