s01_rank,feature,s01_gain,in_top10_survival
213,FS_ST99SA,0.005551434401947828,False
214,FS_ST55CV,0.005495273407965488,False
215,FS_ST32TS,0.00546369294251486,False
216,FS_ST34TS,0.005443434915218247,False
217,FS_ST25TS,0.005436390935271339,False
218,FS_ST53SV,0.005427270500320148,False
219,FS_ST94TS,0.005418316697068522,False
220,FS_ST25SA,0.005365501142343409,False
221,WMH_CEREBRUM_TCB,0.005274547202133226,False
222,FS_ST107SA,0.005237806449412857,False
223,FS_ST84CV,0.00519025671159256,False
224,FS_ST15TA,0.00515888343700823,False
225,FS_ST108SA,0.0051004711467408665,False
226,FS_ST77SV,0.00507213033562947,False
227,FS_ST40TS,0.005049100440132431,False
228,FS_ST74CV,0.00500401683155487,False
229,FS_ST107CV,0.004909249459846794,False
230,FS_ST56TS,0.004901537528251987,False
231,FS_ST119SA,0.0048410474309629565,False
232,FS_ST26TS,0.00481792715603705,False
233,FS_ST110SA,0.0048161362972273985,False
234,FS_ST45CV,0.004747326392635212,False
235,FS_ST48CV,0.004654285449796684,False
236,FS_ST49TS,0.004653868947925466,False
237,PTMARRY,0.00465033153730294,False
238,FS_ST104TA,0.004650157849089282,False
239,FS_ST109TS,0.004643064390581055,False
240,FS_ST117CV,0.004615367618991956,False
241,FS_ST38SA,0.004595759750905712,False
242,FS_ST83SA,0.0045953411321972655,False
243,FS_ST49CV,0.004560935934836618,False
244,PTGENDER,0.004417671127426064,False
245,FS_ST103TS,0.00441231187205205,False
246,FS_ST57TA,0.00438972331819283,False
247,FS_ST96SV,0.004315784421168393,False
248,FS_ST108TA,0.00427908570864588,False
249,FS_ST2SV,0.004263614697818392,False
250,FS_ST62SA,0.00421238308852835,False
251,FS_ST93TS,0.004185595584981612,False
252,WMH_RIGHT_HIPPO,0.004153663046105453,False
253,FS_ST50SA,0.004129434285424818,False
254,FS_ST51TS,0.004122781465433378,False
255,FS_ST103TA,0.004023508458097431,False
256,FS_ST115TA,0.004022312191243859,False
257,FS_ST110TS,0.003993401497247279,False
258,FS_ST13SA,0.003973019892881053,False
259,WMH_CEREBRUM_WHITE,0.003956856374109983,False
260,FS_ST72TA,0.003908560190742676,False
261,FS_ST37SV,0.003818948712010274,False
262,FS_ST153SV,0.003795506569157152,False
263,FS_ST31SA,0.003793395389171201,False
264,FS_ST121SA,0.003781127754252089,False
265,FS_ST15SA,0.0036980449627543243,False
266,FS_ST50CV,0.003695660812944376,False
267,FS_ST40SA,0.0036902689021266217,False
268,FS_ST23SA,0.0036742881631801907,False
269,FS_ST60TS,0.0036258798768431843,False
270,FS_ST48TA,0.003622543378084288,False
271,FS_ST108CV,0.003618254579228132,False
272,FS_ST90SA,0.0035862475834109696,False
273,FS_ST104CV,0.0035676342142379578,False
274,FS_ST73SA,0.003523098484557476,False
275,FS_ST59SA,0.003427126931332556,False
276,FS_ST85SA,0.0033971114778672713,False
277,FS_ST56TA,0.003382663475099591,False
278,FS_ST23CV,0.003321620050444859,False
279,FS_ST59TS,0.003312826957984999,False
280,FS_ST73TA,0.003289093257419674,False
281,FS_ST155SV,0.0032860036333656,False
282,FS_ST94CV,0.0032810661350268023,False
283,FS_ST85TA,0.003253652543741395,False
284,FS_ST73CV,0.0032462950849350618,False
285,FS_ST14TA,0.003222198603210547,False
286,FS_ST117TA,0.003200544011652523,False
287,FS_ST116TS,0.0031443680922071454,False
288,FS_ST152SV,0.0031373674051900814,False
289,FS_ST46CV,0.003129297852437262,False
290,FS_ST28SA,0.0030800438022996176,False
291,FS_ST59CV,0.003035995264876918,False
292,FS_ST130SA,0.0029700666928988875,False
293,education_years,0.002939001794026776,False
294,FS_ST57TS,0.002839077595850465,False
295,FS_ST4SV,0.0028374158650351744,False
296,FS_ST23TS,0.0028232008734621877,False
297,FS_ST91CV,0.0028127146199944256,False
